Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2-December-2020,353.35,360.15,353.35,359.00,357.628120930480847710,711847,13997,254576505.00,403234,56.65,6.80,5.65
1-December-2020,353.00,353.70,346.35,352.90,351.075205800287026712,374878,8628,131610371.00,153501,40.95,7.35,-0.10
27-November-2020,355.00,357.50,348.05,350.50,352.704589241618852644,331667,7928,116980473.00,140436,42.34,9.45,-4.50
26-November-2020,350.40,356.15,347.25,355.05,352.047719423459605276,330662,7174,116408803.00,141935,42.92,8.90,4.65
25-November-2020,357.55,358.50,349.55,350.00,353.001061222654405647,444770,10027,157004282.00,168098,37.79,8.95,-7.55
24-November-2020,359.00,361.30,355.00,355.55,358.178490380935439878,556551,11303,199344597.00,227779,40.93,6.30,-3.45
23-November-2020,347.60,357.50,346.00,355.85,352.145593884435166032,781743,14235,275287353.00,380493,48.67,11.50,8.25
20-November-2020,343.95,348.45,342.10,346.40,346.003468962574361806,398390,7910,137844322.00,172349,43.26,6.35,2.45
19-November-2020,348.40,349.45,341.80,342.65,345.928284837559407087,353914,5683,122428863.00,147596,41.70,7.65,-5.75
18-November-2020,349.00,351.55,341.85,345.20,345.114819603516569669,316331,7840,109170516.00,126822,40.09,9.70,-3.80
17-November-2020,347.00,350.35,343.55,348.85,347.997095386598003015,397299,9272,138258898.00,200325,50.42,6.80,1.85
14-November-2020,346.50,347.55,343.30,345.65,345.936564623819022251,83723,3970,28962847.00,56757,67.79,4.25,-0.85
13-November-2020,343.55,346.15,342.60,344.15,344.823831825339298657,640144,3801,220736907.00,564793,88.23,3.55,0.60
12-November-2020,347.50,350.50,344.40,345.60,347.136213637749830449,219699,4717,76265479.00,87462,39.81,6.10,-1.90
11-November-2020,344.90,347.60,341.50,346.90,344.635199542228704214,143303,2757,49387258.00,40130,28.00,6.10,2.00
10-November-2020,351.50,351.50,341.25,342.20,343.647958833815243602,349996,4486,120275411.00,83930,23.98,10.25,-9.30
9-November-2020,349.35,352.50,347.25,351.85,350.485710271650093344,419952,9728,147187175.00,235493,56.08,5.25,2.50
6-November-2020,346.35,348.50,343.35,346.15,344.874823442911595689,206732,4805,71296662.00,83142,40.22,5.15,-0.20
5-November-2020,348.75,349.00,344.05,345.40,346.454811683320522674,130100,2807,45073771.00,38007,29.21,4.95,-3.35
4-November-2020,336.60,351.45,336.60,342.85,345.796092337079108329,393688,6883,136135772.00,59275,15.06,14.85,6.25
3-November-2020,336.80,339.40,332.70,335.60,336.276909656054407940,236142,5365,79409102.00,81044,34.32,6.70,-1.20
2-November-2020,342.40,342.40,334.10,334.90,336.365857417032066458,142766,2849,48021608.00,41160,28.83,8.30,-7.50
30-October-2020,340.00,345.00,338.60,340.65,341.328090940263048323,326632,6483,111488677.00,84444,25.85,6.40,0.65
29-October-2020,333.75,339.80,331.20,337.55,335.710571353744769747,164189,3186,55119983.00,35214,21.45,8.60,3.80
28-October-2020,335.00,339.80,334.45,335.60,335.543736523167004622,855635,7257,287102965.00,614107,71.77,5.35,0.60
27-October-2020,338.10,339.55,331.15,334.15,333.558884183062599403,279795,4924,93328108.00,149156,53.31,8.40,-3.95
26-October-2020,343.30,344.85,336.70,339.70,341.276380419789917802,320446,7131,109360651.00,106228,33.15,8.15,-3.60
23-October-2020,346.10,347.75,341.30,342.40,344.415146621580124349,276801,6281,95334457.00,101600,36.70,6.45,-3.70
22-October-2020,340.50,348.30,340.50,344.55,344.401868131868131868,318500,7543,109691995.00,94877,29.79,7.80,4.05
21-October-2020,349.60,350.15,339.10,343.50,345.066173089303780005,413174,9229,142572371.00,123723,29.94,11.05,-6.10
20-October-2020,344.50,349.50,342.25,346.75,347.071459276740689076,579239,10208,201037325.00,149721,25.85,7.25,2.25
19-October-2020,343.00,346.40,338.75,343.25,342.965895672914120816,339605,5256,116472933.00,64811,19.08,7.65,0.25
16-October-2020,342.90,348.10,338.85,339.55,342.531265512545096868,707089,8933,242200090.00,77772,11.00,9.25,-3.35
15-October-2020,350.60,354.10,339.20,341.50,346.143063652062496021,1461021,14370,505722285.00,659311,45.13,14.90,-9.10
14-October-2020,366.60,366.60,348.50,350.15,353.642352131649685805,2098539,29023,742132268.00,367482,17.51,18.10,-16.45
13-October-2020,378.00,381.70,373.00,375.75,376.651402993823185921,1576379,20031,593745362.00,351012,22.27,8.70,-2.25
12-October-2020,378.00,379.70,369.50,377.55,375.420643899628839790,2305204,29813,865421170.00,474894,20.60,10.20,-0.45
9-October-2020,363.00,375.85,355.00,374.10,365.717465002895005979,2217612,29762,811019439.00,444777,20.06,20.85,11.10
8-October-2020,348.70,367.75,346.80,359.45,357.469690658349642933,2866410,34268,1024654696.00,308226,10.75,20.95,10.75
7-October-2020,329.00,336.50,325.55,335.25,330.774747544400006129,522072,6385,172688234.00,105068,20.13,10.95,6.25
6-October-2020,333.15,335.95,323.00,330.00,328.089705127641167759,1022985,13948,335630847.00,373237,36.48,12.95,-3.15
5-October-2020,315.75,335.90,315.45,334.05,329.166701425824779289,1620676,21627,533472573.00,672714,41.51,20.45,18.30
1-October-2020,315.25,317.75,312.05,313.00,314.722471063018315668,248039,4651,78063447.00,70196,28.30,5.70,-2.25
30-September-2020,313.70,315.70,309.65,313.60,311.413004309563217858,777573,3265,242146344.00,564506,72.60,6.05,-0.10
29-September-2020,312.55,318.50,310.50,311.40,313.817592743958466039,354794,4356,111340599.00,43931,12.38,8.00,-1.15
28-September-2020,315.70,317.00,309.65,311.55,312.756584300826332618,349012,7015,109155801.00,65335,18.72,7.35,-4.15
25-September-2020,306.45,315.00,304.30,313.90,309.842399398522165128,417638,6311,129401960.00,55617,13.32,10.70,7.45
24-September-2020,314.25,314.25,302.15,304.60,309.464519040266232346,709155,4570,219458311.00,48795,6.88,12.10,-9.65
23-September-2020,315.00,321.70,311.20,314.50,316.634030219577565221,650704,10154,206035030.00,122860,18.88,10.50,-0.50
22-September-2020,315.25,318.70,303.75,312.25,310.970268400664084117,1228760,16060,382107827.00,234476,19.08,14.95,-3.00
21-September-2020,316.45,324.55,310.05,311.95,318.570991160551037726,800163,16023,254908720.00,208046,26.00,14.50,-4.50
18-September-2020,314.55,318.85,312.45,316.50,316.358556078217746467,407529,5838,128925286.00,82930,20.35,6.40,1.95
17-September-2020,307.00,316.70,307.00,311.65,313.250093472105782423,607133,7502,190184469.00,123832,20.40,9.70,4.65
16-September-2020,307.00,313.45,304.10,312.10,308.232027683109670308,649638,8287,200239238.00,326470,50.25,9.35,5.10
15-September-2020,307.40,311.15,302.75,307.30,307.431015720190964909,752599,10305,231372275.00,133142,17.69,8.40,-0.10
14-September-2020,294.00,308.30,293.05,307.15,302.132673464128034390,1187306,13361,358723936.00,359324,30.26,15.25,13.15
11-September-2020,282.65,298.30,282.65,293.05,293.396047536990180500,1548857,21060,454428522.00,571584,36.90,15.65,10.40
10-September-2020,286.10,286.95,281.20,284.95,283.873305909939986487,201288,3055,57140290.00,51481,25.58,5.75,-1.15
9-September-2020,280.40,289.30,278.90,282.75,284.083187529573404136,636129,6399,180713554.00,83946,13.20,10.40,2.35
8-September-2020,282.00,286.90,278.60,282.25,283.807673756085796542,530744,6399,150629220.00,104899,19.76,8.30,0.25
7-September-2020,277.00,279.50,271.75,278.65,275.684952440717950505,172101,2514,47445656.00,39407,22.90,7.75,1.65
4-September-2020,279.00,279.70,275.35,276.00,276.621599407782017887,906423,7408,250736180.00,663969,73.25,4.35,-3.00
3-September-2020,274.60,287.35,274.00,282.65,281.964761982958526675,1254469,16047,353716053.00,654912,52.21,13.35,8.05
2-September-2020,272.40,276.40,271.30,273.80,273.763307174135932005,208722,3380,57140425.00,67616,32.40,5.10,1.40
1-September-2020,270.00,279.35,269.10,271.75,273.769371222631520196,627090,9267,171678035.00,315414,50.30,10.25,1.75
31-August-2020,275.00,282.00,269.65,271.40,277.049576830002176668,546707,6253,151464943.00,191861,35.09,12.35,-3.60
28-August-2020,274.05,274.95,271.50,271.95,273.087214687396625868,120920,1701,33021706.00,41095,33.99,3.45,-2.10
27-August-2020,273.00,275.20,271.20,271.90,272.520650362940698755,358323,2404,97650417.00,193248,53.93,4.00,-1.10
26-August-2020,270.00,274.55,269.00,272.00,272.168994068215521502,501704,3381,136548273.00,186643,37.20,5.55,2.00
25-August-2020,275.00,275.00,269.50,269.90,270.990268962193533833,195046,3122,52855568.00,68219,34.98,5.50,-5.10
24-August-2020,275.00,275.50,271.80,272.70,272.874884222962871124,274234,5564,74831571.00,129125,47.09,3.70,-2.30
